word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/2/lemma/@_entry,word/2/lemma/@_POS,word/6/lemma/@_entry,word/6/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/36/lemma/@_entry,word/36/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS
oi(=s,ὅς,pronoun,h(,ὁ,article,boulh\,peisqei=sa,πείθω,verb,ta\s,ὁ,article,me\n,μέν,particle,tw=n,xrew=n,χρέα,adjective,a)pokopa\s,ἀποκοπή,noun,e)yhfi/sato,ψηφίζομαι,verb,pa=si,πᾶς,adjective,*(rwmai/ois,,,toi=s,ὁ,article,de\,δέ,particle,to/te,τότε,adverb,e)xqroi=s,ἐχθρός,adjective,kai\,καί,conjunction,a)/deian,ἄδεια,noun,,,,βουλή,noun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oi(,ὁ,article,me\n,μέν,particle,dh\,ta\,ὁ,article,o(/pla,ὅπλον,noun,a)poqe/menoi,ἀποτίθημι,verb,kath/|esan,e)s,εἰς,preposition,th\n,ὁ,article,po/lin,πόλις,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,δή,particle,κάτειμι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(/ti,ὅστις,pronoun,*ma/llios,Μάλλιος,proper,*torkoua/tos,o(,ὁ,article,u(/patos,ὕπατος,adjective,toiou=tos,τοιοῦτος,adjective,h)=n,th\n,ὁ,article,a)reth/n,ἀρετή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tou/tw|,οὗτος,pronoun,path\r,πατήρ,noun,e)gege/nhto,mikrolo/gos,μικρολόγος,adjective,kai\,καί,conjunction,a)melh\s,ἀμελής,adjective,e)s,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,γίγνομαι,verb,εἰς,preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,e)n,ἐν,preposition,a)groi=s,au)to\n,αὐτός,pronoun,ei)=xe,ἔχω,verb,meta\,μετά,preposition,tw=n,qerapo/ntwn,θεράπων,noun,e)rgazo/meno/n,ἐργάζομαι,verb,te,τε,particle,kai\,καί,conjunction,trefo/menon,τρέφω,verb,,,,,,,,,,,,,,,,,,,,,,ἀγρός,noun,ὁ,article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grayame/nou,γράφω,verb,de\,δέ,particle,au)to\n,e)pi\,ἐπί,preposition,polloi=s,πολύς,adjective,a)dikh/masi,ἀδίκημα,noun,*pompwni/ou,dhma/rxou,δήμαρχος,noun,kai\,καί,conjunction,me/llontos,μέλλω,verb,e)rei=n,ἐρέω,verb,ti,τις,pronoun,kai\,καί,conjunction,peri\,περί,preposition,th=s,ὁ,article,e)s,εἰς,preposition,to\n,ὁ,article,pai=da,παῖς,adjective,kakw/sews,κάκωσις,noun,αὐτός,pronoun,Πομπώνιος,proper,o(,ὁ,article,pai=s,πᾶς,adjective,o(/de,ὅδε,pronoun,*ma/llios,Μάλλιος,proper,h(=ken,ἥκω,verb,e)pikru/ptwn,ἐπικρύπτω,verb,cifi/dion,ξιφίδιον,noun,e)s,εἰς,preposition,th\n,ὁ,article,oi)ki/an,οἰκία,noun,tou=,ὁ,article,dhma/rxou,δήμαρχος,noun,kai\,καί,conjunction,tuxei=n,τυγχάνω,verb,h)ci/wsen,ἀξιόω,verb,au)tou=,αὐτός,pronoun,mo/nou,μόνος,adjective,w(s,dh/,δή,particle,ti,τις,pronoun,le/cwn,λέγω,verb,xrh/simon,χρήσιμος,adjective,e)s,εἰς,preposition,th\n,ὁ,article,di/khn,δίκη,adjective,,,,,,,,,,,,,,,,,,,ὡς,conjunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u(podexqei\s,ὑποδέχομαι,verb,de\,δέ,particle,kai\,le/gein,λέγω,verb,a)rxo/menos,ἄρχω,verb,e)pe/kleise,ἐπικλείω,verb,ta\s,qu/ras,θύρα,noun,kai\,καί,conjunction,to\,ὁ,article,ci/fos,ξίφος,noun,e)pispa/sas,ἐπισπάω,verb,h)pei/lei,ἀπειλέω,verb,tw=|,ὁ,article,dhma/rxw|,δήμαρχος,noun,ktenei=n,κτείνω,verb,au)to/n,αὐτός,pronoun,ei),εἰ,conjunction,mh\,μή,conjunction,καί,conjunction,ὁ,article,o)mo/seien,ὄμνυμι,verb,o(/ti,ὅστις,pronoun,lu/sei,λύω,verb,tw=|,ὁ,article,patri\,πατήρ,noun,th\n,ὁ,article,di/khn,δίκη,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kai\,καί,conjunction,o(,ὁ,article,me\n,w)/mose,ὄμνυμι,verb,kai\,καί,conjunction,die/lusen,διαλύω,verb,e)kqe/menos,tw=|,ὁ,article,dh/mw|,δῆμος,noun,to\,ὁ,article,sumba/n,συμβαίνω,verb,,,,,,,,,,,,,,,,,,,,,,,,,μέν,particle,ἐκτίθημι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,*ma/llios,e)c,ἐκ,preposition,e)kei/nou,ἐκεῖνος,pronoun,lampro\s,λαμπρός,adjective,h)=n,e)painou/menos,ἐπαινέω,verb,o(/ti,ὅστις,pronoun,toio/sde,τοιόσδε,adjective,e)s,εἰς,preposition,toio/nde,τοιόσδε,adjective,pate/ra,πατήρ,noun,e)gege/nhto,γίγνομαι,verb,,,,,,,,,,,,,,,,Μάλλιος,proper,εἰμί,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,de\,δέ,particle,au)to\n,ei)s,εἰς,preposition,monomaxi/an,μονομαχία,noun,proukalei=to,προκαλέω,verb,skw/ptwn,e)s,εἰς,preposition,au)to/n,αὐτός,pronoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,αὐτός,pronoun,εἰσλάω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
